country_code,year,gdp_current_usd,gdp_per_capita_usd,agriculture_pct_gdp,population
AFE,1970,47593907819.7874,276.73,18.0272399613244,171984985
AFE,1971,52188685166.5557,294.81,18.0272399613244,177022314
AFE,1972,56726057494.0768,311.47,18.0272399613244,182126556
AFE,1973,73083598128.6821,389.73,18.0272399613244,187524135
AFE,1974,89535976340.3865,463.47,18.0272399613244,193186642
AFE,1975,95295754526.8723,479.08,18.0272399613244,198914573
AFE,1976,96006417139.9693,468.77,18.0272399613244,204802976
AFE,1977,109208244154.943,518.36,18.0272399613244,210680842
AFE,1978,124083421003.115,571.62,18.0272399613244,217074286
AFE,1979,142099959764.832,634.45,18.0272399613244,223974122
AFE,1980,178472295521.021,773.3,18.0272399613244,230792729
AFE,1981,185108969364.767,777.63,18.0272399613244,238043099
AFE,1982,178355547527.525,725.55,18.0272399613244,245822010
AFE,1983,185755503030.119,732.35,18.0272399613244,253644643
AFE,1984,170038515839.183,650.35,18.0272399613244,261458202
AFE,1985,149335153752.165,554.22,18.0272399613244,269450407
AFE,1986,160553515127.741,578.32,18.0272399613244,277621771
AFE,1987,190175229570.901,664.79,18.0272399613244,286067346
AFE,1988,207368870172.406,704.14,18.0272399613244,294498625
AFE,1989,220613390803.074,728.24,18.0272399613244,302939121
AFE,1990,256383050159.487,822.4,18.0272399613244,311748681
AFE,1991,276918502950.348,864.17,19.584532040338,320442961
AFE,1992,241188307967.9,732.91,12.8677911695491,329082707
AFE,1993,239981176638.05,709.32,13.1881082238939,338324002
AFE,1994,243477534983.306,700.77,12.6467293349362,347441809
AFE,1995,273327034187.587,766.52,12.3265689992254,356580375
AFE,1996,273427612467.252,746.79,12.7647936891065,366138524
AFE,1997,288270699674.414,767.4,13.3368856412762,375646235
AFE,1998,268728127688.21,697.08,13.509654455164,385505757
AFE,1999,265321007618.974,670.42,12.6881357426819,395750933
AFE,2000,287041984552.036,706.73,12.91604079615,406156661
AFE,2001,260849957489.123,625.83,12.8118831611993,416807868
AFE,2002,269746009737.978,630.51,12.923772984898,427820358
AFE,2003,358116081062.427,815.43,11.1610363330766,439173286
AFE,2004,445974808500.088,989.02,10.0517582138612,450928044
AFE,2005,521561976778.096,1126.3,9.96435509379107,463076637
AFE,2006,587500469826.421,1235.27,10.263076702081,475606210
AFE,2007,674999944547.619,1381.55,11.1719463183513,488580707
AFE,2008,726770401376.729,1447.55,12.3951575283608,502070763
AFE,2009,726921646144.603,1408.75,12.6634182446055,516003448
AFE,2010,863822114606.332,1628.91,11.5097433507165,530308387
AFE,2011,959822476083.878,1761.99,10.3947360711001,544737983
AFE,2012,969265729636.028,1732.04,11.1428276413639,559609961
AFE,2013,981308886976.783,1706.02,11.4902471456998,575202699
AFE,2014,998836162271.296,1690.17,12.2765768281439,590968990
AFE,2015,910002035578.038,1498.88,13.0150928784089,607123269
AFE,2016,831868076442.431,1334.47,12.8864676029798,623369401
AFE,2017,978076465866.452,1528.1,12.4624744974616,640058741
AFE,2018,1020955778298.17,1552.07,11.991747543543,657801085
AFE,2019,1018714795912.35,1507.09,12.9537634387917,675950189
AFE,2020,938607563405.087,1351.59,14.7341526462305,694446100
AFE,2021,1114144799994.21,1562.42,13.7287411103208,713090928
AFE,2022,1228967879390.01,1679.33,14.1855226450872,731821393
AFE,2023,1179359054880.45,1571.45,15.3330728318337,750491370
AFE,2024,1242693542929.85,1615.4,15.2652577337707,769280888
AFW,1970,26696924213.8055,218.67,15.5968505648122,122086536
AFW,1971,24496786001.8079,195.86,15.5968505648122,125072948
AFW,1972,29489425515.7538,230.07,15.5968505648122,128176494
AFW,1973,36890633234.1126,280.64,15.5968505648122,131449942
AFW,1974,49687223643.2392,368.29,15.5968505648122,134911581
AFW,1975,57280116275.6847,413.37,15.5968505648122,138569918
AFW,1976,68385552348.1688,480.45,15.5968505648122,142337272
AFW,1977,71789497552.1911,490.84,15.5968505648122,146258576
AFW,1978,78778080489.5676,523.78,15.5968505648122,150402616
AFW,1979,96681064864.1808,624.87,15.5968505648122,154721711
AFW,1980,121445961252.94,763.01,15.5968505648122,159166518
AFW,1981,217606540487.256,1328.79,15.5968505648122,163762473
AFW,1982,196264853551.918,1164.19,16.4071578260408,168585118
AFW,1983,151421439334.1,873.98,17.1910533458871,173255157
AFW,1984,131373058519.308,738.55,18.5415913792349,177880746
AFW,1985,138005066699.39,754.91,18.1423365844136,182811038
AFW,1986,109517776160.1,582.89,22.5964840960765,187889141
AFW,1987,112641148828.574,583.32,24.6483885697608,193104347
AFW,1988,111770322169.923,563.12,26.3344317425955,198485027
